competencia,uf,tipo_estabelecimento,natureza_juridica,qtd_estabelecimentos
2018-10,RS,Hospital Geral,P<c3><ba>blico,68
2018-10,BR,Hospital Geral,Filantr<c3><b3>pico,683
2018-10,SP,Hospital Geral,Filantr<c3><b3>pico,153
2018-10,RJ,Hospital Geral,Filantr<c3><b3>pico,63
2018-10,MG,Hospital Geral,Filantr<c3><b3>pico,71
2018-10,BA,Hospital Geral,Filantr<c3><b3>pico,49
2018-10,RS,Hospital Geral,Filantr<c3><b3>pico,43
2018-10,BR,Hospital Geral,Privado,1014
2018-10,SP,Hospital Geral,Privado,213
2018-10,RJ,Hospital Geral,Privado,88
2018-10,MG,Hospital Geral,Privado,97
2018-10,BA,Hospital Geral,Privado,69
2018-10,RS,Hospital Geral,Privado,59
2019-01,BR,Hospital Geral,P<c3><ba>blico,1107
2019-01,SP,Hospital Geral,P<c3><ba>blico,255
2019-01,RJ,Hospital Geral,P<c3><ba>blico,102
2019-01,MG,Hospital Geral,P<c3><ba>blico,114
2019-01,BA,Hospital Geral,P<c3><ba>blico,79
2019-01,RS,Hospital Geral,P<c3><ba>blico,67
2019-01,BR,Hospital Geral,Filantr<c3><b3>pico,699
2019-01,SP,Hospital Geral,Filantr<c3><b3>pico,156
2019-01,RJ,Hospital Geral,Filantr<c3><b3>pico,62
2019-01,MG,Hospital Geral,Filantr<c3><b3>pico,70
2019-01,BA,Hospital Geral,Filantr<c3><b3>pico,51
2019-01,RS,Hospital Geral,Filantr<c3><b3>pico,42
2019-01,BR,Hospital Geral,Privado,1005
2019-01,SP,Hospital Geral,Privado,221
2019-01,RJ,Hospital Geral,Privado,87
2019-01,MG,Hospital Geral,Privado,100
2019-01,BA,Hospital Geral,Privado,69
2019-01,RS,Hospital Geral,Privado,59
2019-04,BR,Hospital Geral,P<c3><ba>blico,1132
2019-04,SP,Hospital Geral,P<c3><ba>blico,248
2019-04,RJ,Hospital Geral,P<c3><ba>blico,104
2019-04,MG,Hospital Geral,P<c3><ba>blico,116
2019-04,BA,Hospital Geral,P<c3><ba>blico,78
2019-04,RS,Hospital Geral,P<c3><ba>blico,68
2019-04,BR,Hospital Geral,Filantr<c3><b3>pico,721
2019-04,SP,Hospital Geral,Filantr<c3><b3>pico,158
2019-04,RJ,Hospital Geral,Filantr<c3><b3>pico,65
2019-04,MG,Hospital Geral,Filantr<c3><b3>pico,71
2019-04,BA,Hospital Geral,Filantr<c3><b3>pico,50
2019-04,RS,Hospital Geral,Filantr<c3><b3>pico,43
2019-04,BR,Hospital Geral,Privado,996
2019-04,SP,Hospital Geral,Privado,219
2019-04,RJ,Hospital Geral,Privado,87
2019-04,MG,Hospital Geral,Privado,101
2019-04,BA,Hospital Geral,Privado,68
2019-04,RS,Hospital Geral,Privado,59
2019-07,BR,Hospital Geral,P<c3><ba>blico,1138
2019-07,SP,Hospital Geral,P<c3><ba>blico,253
2019-07,RJ,Hospital Geral,P<c3><ba>blico,101
2019-07,MG,Hospital Geral,P<c3><ba>blico,114
2019-07,BA,Hospital Geral,P<c3><ba>blico,78
2019-07,RS,Hospital Geral,P<c3><ba>blico,68
2019-07,BR,Hospital Geral,Filantr<c3><b3>pico,724
2019-07,SP,Hospital Geral,Filantr<c3><b3>pico,159
2019-07,RJ,Hospital Geral,Filantr<c3><b3>pico,65
2019-07,MG,Hospital Geral,Filantr<c3><b3>pico,72
2019-07,BA,Hospital Geral,Filantr<c3><b3>pico,49
2019-07,RS,Hospital Geral,Filantr<c3><b3>pico,42
2019-07,BR,Hospital Geral,Privado,997
2019-07,SP,Hospital Geral,Privado,218
2019-07,RJ,Hospital Geral,Privado,91
2019-07,MG,Hospital Geral,Privado,100
2019-07,BA,Hospital Geral,Privado,71
2019-07,RS,Hospital Geral,Privado,59
2019-10,BR,Hospital Geral,P<c3><ba>blico,1153
2019-10,SP,Hospital Geral,P<c3><ba>blico,248
2019-10,RJ,Hospital Geral,P<c3><ba>blico,103
2019-10,MG,Hospital Geral,P<c3><ba>blico,115
2019-10,BA,Hospital Geral,P<c3><ba>blico,80
2019-10,RS,Hospital Geral,P<c3><ba>blico,70
2019-10,BR,Hospital Geral,Filantr<c3><b3>pico,713
2019-10,SP,Hospital Geral,Filantr<c3><b3>pico,156
2019-10,RJ,Hospital Geral,Filantr<c3><b3>pico,63
2019-10,MG,Hospital Geral,Filantr<c3><b3>pico,70
2019-10,BA,Hospital Geral,Filantr<c3><b3>pico,48
2019-10,RS,Hospital Geral,Filantr<c3><b3>pico,42
2019-10,BR,Hospital Geral,Privado,994
2019-10,SP,Hospital Geral,Privado,220
2019-10,RJ,Hospital Geral,Privado,89
2019-10,MG,Hospital Geral,Privado,100
2019-10,BA,Hospital Geral,Privado,71
2019-10,RS,Hospital Geral,Privado,61
2020-01,BR,Hospital Geral,P<c3><ba>blico,1133
2020-01,SP,Hospital Geral,P<c3><ba>blico,256
2020-01,RJ,Hospital Geral,P<c3><ba>blico,106
2020-01,MG,Hospital Geral,P<c3><ba>blico,112
2020-01,BA,Hospital Geral,P<c3><ba>blico,82
2020-01,RS,Hospital Geral,P<c3><ba>blico,68
2020-01,BR,Hospital Geral,Filantr<c3><b3>pico,733
2020-01,SP,Hospital Geral,Filantr<c3><b3>pico,158
2020-01,RJ,Hospital Geral,Filantr<c3><b3>pico,64
2020-01,MG,Hospital Geral,Filantr<c3><b3>pico,70
2020-01,BA,Hospital Geral,Filantr<c3><b3>pico,50
2020-01,RS,Hospital Geral,Filantr<c3><b3>pico,42
2020-01,BR,Hospital Geral,Privado,1027
2020-01,SP,Hospital Geral,Privado,222
2020-01,RJ,Hospital Geral,Privado,89
2020-01,MG,Hospital Geral,Privado,101
2020-01,BA,Hospital Geral,Privado,70
2020-01,RS,Hospital Geral,Privado,59
2020-04,BR,Hospital Geral,P<c3><ba>blico,1139
2020-04,SP,Hospital Geral,P<c3><ba>blico,255
2020-04,RJ,Hospital Geral,P<c3><ba>blico,105
2020-04,MG,Hospital Geral,P<c3><ba>blico,113
2020-04,BA,Hospital Geral,P<c3><ba>blico,83
2020-04,RS,Hospital Geral,P<c3><ba>blico,69
2020-04,BR,Hospital Geral,Filantr<c3><b3>pico,698
2020-04,SP,Hospital Geral,Filantr<c3><b3>pico,159
2020-04,RJ,Hospital Geral,Filantr<c3><b3>pico,64
2020-04,MG,Hospital Geral,Filantr<c3><b3>pico,73
2020-04,BA,Hospital Geral,Filantr<c3><b3>pico,51
2020-04,RS,Hospital Geral,Filantr<c3><b3>pico,43
2020-04,BR,Hospital Geral,Privado,989
2020-04,SP,Hospital Geral,Privado,221
2020-04,RJ,Hospital Geral,Privado,89
2020-04,MG,Hospital Geral,Privado,99
2020-04,BA,Hospital Geral,Privado,68
2020-04,RS,Hospital Geral,Privado,61
2020-07,BR,Hospital Geral,P<c3><ba>blico,1137
2020-07,SP,Hospital Geral,P<c3><ba>blico,253
2020-07,RJ,Hospital Geral,P<c3><ba>blico,105
2020-07,MG,Hospital Geral,P<c3><ba>blico,115
2020-07,BA,Hospital Geral,P<c3><ba>blico,82
2020-07,RS,Hospital Geral,P<c3><ba>blico,69
2020-07,BR,Hospital Geral,Filantr<c3><b3>pico,737
2020-07,SP,Hospital Geral,Filantr<c3><b3>pico,162
2020-07,RJ,Hospital Geral,Filantr<c3><b3>pico,65
2020-07,MG,Hospital Geral,Filantr<c3><b3>pico,73
2020-07,BA,Hospital Geral,Filantr<c3><b3>pico,50
2020-07,RS,Hospital Geral,Filantr<c3><b3>pico,44
2020-07,BR,Hospital Geral,Privado,1035
2020-07,SP,Hospital Geral,Privado,226
2020-07,RJ,Hospital Geral,Privado,90
2020-07,MG,Hospital Geral,Privado,103
2020-07,BA,Hospital Geral,Privado,70
2020-07,RS,Hospital Geral,Privado,60
2020-10,BR,Hospital Geral,P<c3><ba>blico,1170
2020-10,SP,Hospital Geral,P<c3><ba>blico,254
2020-10,RJ,Hospital Geral,P<c3><ba>blico,105
2020-10,MG,Hospital Geral,P<c3><ba>blico,118
2020-10,BA,Hospital Geral,P<c3><ba>blico,81
2020-10,RS,Hospital Geral,P<c3><ba>blico,69
2020-10,BR,Hospital Geral,Filantr<c3><b3>pico,727
2020-10,SP,Hospital Geral,Filantr<c3><b3>pico,157
2020-10,RJ,Hospital Geral,Filantr<c3><b3>pico,65
2020-10,MG,Hospital Geral,Filantr<c3><b3>pico,73
2020-10,BA,Hospital Geral,Filantr<c3><b3>pico,51
2020-10,RS,Hospital Geral,Filantr<c3><b3>pico,44
2020-10,BR,Hospital Geral,Privado,1038
2020-10,SP,Hospital Geral,Privado,226
2020-10,RJ,Hospital Geral,Privado,92
2020-10,MG,Hospital Geral,Privado,101
2020-10,BA,Hospital Geral,Privado,71
2020-10,RS,Hospital Geral,Privado,62
2021-01,BR,Hospital Geral,P<c3><ba>blico,1187
2021-01,SP,Hospital Geral,P<c3><ba>blico,259
2021-01,RJ,Hospital Geral,P<c3><ba>blico,105
2021-01,MG,Hospital Geral,P<c3><ba>blico,118
2021-01,BA,Hospital Geral,P<c3><ba>blico,79
2021-01,RS,Hospital Geral,P<c3><ba>blico,71
2021-01,BR,Hospital Geral,Filantr<c3><b3>pico,726
2021-01,SP,Hospital Geral,Filantr<c3><b3>pico,158
2021-01,RJ,Hospital Geral,Filantr<c3><b3>pico,65
2021-01,MG,Hospital Geral,Filantr<c3><b3>pico,73
2021-01,BA,Hospital Geral,Filantr<c3><b3>pico,51
2021-01,RS,Hospital Geral,Filantr<c3><b3>pico,42
2021-01,BR,Hospital Geral,Privado,1044
2021-01,SP,Hospital Geral,Privado,227
2021-01,RJ,Hospital Geral,Privado,94
2021-01,MG,Hospital Geral,Privado,101
2021-01,BA,Hospital Geral,Privado,72
2021-01,RS,Hospital Geral,Privado,61
2021-04,BR,Hospital Geral,P<c3><ba>blico,1171
2021-04,SP,Hospital Geral,P<c3><ba>blico,260
2021-04,RJ,Hospital Geral,P<c3><ba>blico,104
2021-04,MG,Hospital Geral,P<c3><ba>blico,118
2021-04,BA,Hospital Geral,P<c3><ba>blico,84
2021-04,RS,Hospital Geral,P<c3><ba>blico,69
2021-04,BR,Hospital Geral,Filantr<c3><b3>pico,754
2021-04,SP,Hospital Geral,Filantr<c3><b3>pico,159
2021-04,RJ,Hospital Geral,Filantr<c3><b3>pico,65
2021-04,MG,Hospital Geral,Filantr<c3><b3>pico,74
2021-04,BA,Hospital Geral,Filantr<c3><b3>pico,50
2021-04,RS,Hospital Geral,Filantr<c3><b3>pico,42
2021-04,BR,Hospital Geral,Privado,1043
2021-04,SP,Hospital Geral,Privado,227
2021-04,RJ,Hospital Geral,Privado,91
2021-04,MG,Hospital Geral,Privado,103
2021-04,BA,Hospital Geral,Privado,71
2021-04,RS,Hospital Geral,Privado,61
2021-07,BR,Hospital Geral,P<c3><ba>blico,1183
2021-07,SP,Hospital Geral,P<c3><ba>blico,254
2021-07,RJ,Hospital Geral,P<c3><ba>blico,105
2021-07,MG,Hospital Geral,P<c3><ba>blico,117
2021-07,BA,Hospital Geral,P<c3><ba>blico,80
2021-07,RS,Hospital Geral,P<c3><ba>blico,70
2021-07,BR,Hospital Geral,Filantr<c3><b3>pico,731
2021-07,SP,Hospital Geral,Filantr<c3><b3>pico,162
2021-07,RJ,Hospital Geral,Filantr<c3><b3>pico,67
2021-07,MG,Hospital Geral,Filantr<c3><b3>pico,73
2021-07,BA,Hospital Geral,Filantr<c3><b3>pico,51
2021-07,RS,Hospital Geral,Filantr<c3><b3>pico,45
2021-07,BR,Hospital Geral,Privado,1045
2021-07,SP,Hospital Geral,Privado,226
2021-07,RJ,Hospital Geral,Privado,91
2021-07,MG,Hospital Geral,Privado,105
2021-07,BA,Hospital Geral,Privado,72
2021-07,RS,Hospital Geral,Privado,62
2021-10,BR,Hospital Geral,P<c3><ba>blico,1140
2021-10,SP,Hospital Geral,P<c3><ba>blico,260
2021-10,RJ,Hospital Geral,P<c3><ba>blico,103
2021-10,MG,Hospital Geral,P<c3><ba>blico,121
2021-10,BA,Hospital Geral,P<c3><ba>blico,83
2021-10,RS,Hospital Geral,P<c3><ba>blico,70
2021-10,BR,Hospital Geral,Filantr<c3><b3>pico,748
2021-10,SP,Hospital Geral,Filantr<c3><b3>pico,162
2021-10,RJ,Hospital Geral,Filantr<c3><b3>pico,65
2021-10,MG,Hospital Geral,Filantr<c3><b3>pico,73
2021-10,BA,Hospital Geral,Filantr<c3><b3>pico,52
2021-10,RS,Hospital Geral,Filantr<c3><b3>pico,44
2021-10,BR,Hospital Geral,Privado,1062
2021-10,SP,Hospital Geral,Privado,228
2021-10,RJ,Hospital Geral,Privado,96
2021-10,MG,Hospital Geral,Privado,102
2021-10,BA,Hospital Geral,Privado,71
2021-10,RS,Hospital Geral,Privado,62
2022-01,BR,Hospital Geral,P<c3><ba>blico,1169
2022-01,SP,Hospital Geral,P<c3><ba>blico,258
2022-01,RJ,Hospital Geral,P<c3><ba>blico,105
2022-01,MG,Hospital Geral,P<c3><ba>blico,119
2022-01,BA,Hospital Geral,P<c3><ba>blico,84
2022-01,RS,Hospital Geral,P<c3><ba>blico,71
2022-01,BR,Hospital Geral,Filantr<c3><b3>pico,733
2022-01,SP,Hospital Geral,Filantr<c3><b3>pico,164
2022-01,RJ,Hospital Geral,Filantr<c3><b3>pico,66
2022-01,MG,Hospital Geral,Filantr<c3><b3>pico,73
2022-01,BA,Hospital Geral,Filantr<c3><b3>pico,51
2022-01,RS,Hospital Geral,Filantr<c3><b3>pico,45
2022-01,BR,Hospital Geral,Privado,1021
2022-01,SP,Hospital Geral,Privado,229
2022-01,RJ,Hospital Geral,Privado,92
2022-01,MG,Hospital Geral,Privado,107
2022-01,BA,Hospital Geral,Privado,72
2022-01,RS,Hospital Geral,Privado,62
2022-04,BR,Hospital Geral,P<c3><ba>blico,1172
2022-04,SP,Hospital Geral,P<c3><ba>blico,256
2022-04,RJ,Hospital Geral,P<c3><ba>blico,109
2022-04,MG,Hospital Geral,P<c3><ba>blico,118
2022-04,BA,Hospital Geral,P<c3><ba>blico,83
2022-04,RS,Hospital Geral,P<c3><ba>blico,72
2022-04,BR,Hospital Geral,Filantr<c3><b3>pico,746
2022-04,SP,Hospital Geral,Filantr<c3><b3>pico,164
2022-04,RJ,Hospital Geral,Filantr<c3><b3>pico,67
2022-04,MG,Hospital Geral,Filantr<c3><b3>pico,74
2022-04,BA,Hospital Geral,Filantr<c3><b3>pico,52
2022-04,RS,Hospital Geral,Filantr<c3><b3>pico,44
2022-04,BR,Hospital Geral,Privado,1054
2022-04,SP,Hospital Geral,Privado,235
2022-04,RJ,Hospital Geral,Privado,93
2022-04,MG,Hospital Geral,Privado,103
2022-04,BA,Hospital Geral,Privado,73
2022-04,RS,Hospital Geral,Privado,62
2022-07,BR,Hospital Geral,P<c3><ba>blico,1218
2022-07,SP,Hospital Geral,P<c3><ba>blico,263
2022-07,RJ,Hospital Geral,P<c3><ba>blico,106
2022-07,MG,Hospital Geral,P<c3><ba>blico,119
2022-07,BA,Hospital Geral,P<c3><ba>blico,84
2022-07,RS,Hospital Geral,P<c3><ba>blico,72
2022-07,BR,Hospital Geral,Filantr<c3><b3>pico,759
2022-07,SP,Hospital Geral,Filantr<c3><b3>pico,163
2022-07,RJ,Hospital Geral,Filantr<c3><b3>pico,68
2022-07,MG,Hospital Geral,Filantr<c3><b3>pico,73
2022-07,BA,Hospital Geral,Filantr<c3><b3>pico,53
2022-07,RS,Hospital Geral,Filantr<c3><b3>pico,44
2022-07,BR,Hospital Geral,Privado,1077
2022-07,SP,Hospital Geral,Privado,231
2022-07,RJ,Hospital Geral,Privado,92
2022-07,MG,Hospital Geral,Privado,104
2022-07,BA,Hospital Geral,Privado,73
2022-07,RS,Hospital Geral,Privado,62
2022-10,BR,Hospital Geral,P<c3><ba>blico,1188
2022-10,SP,Hospital Geral,P<c3><ba>blico,269
2022-10,RJ,Hospital Geral,P<c3><ba>blico,105
2022-10,MG,Hospital Geral,P<c3><ba>blico,119
2022-10,BA,Hospital Geral,P<c3><ba>blico,84
2022-10,RS,Hospital Geral,P<c3><ba>blico,71
2022-10,BR,Hospital Geral,Filantr<c3><b3>pico,753
2022-10,SP,Hospital Geral,Filantr<c3><b3>pico,165
2022-10,RJ,Hospital Geral,Filantr<c3><b3>pico,69
2022-10,MG,Hospital Geral,Filantr<c3><b3>pico,75
2022-10,BA,Hospital Geral,Filantr<c3><b3>pico,52
2022-10,RS,Hospital Geral,Filantr<c3><b3>pico,45
2022-10,BR,Hospital Geral,Privado,1072
2022-10,SP,Hospital Geral,Privado,232
2022-10,RJ,Hospital Geral,Privado,95
2022-10,MG,Hospital Geral,Privado,106
2022-10,BA,Hospital Geral,Privado,74
2022-10,RS,Hospital Geral,Privado,63
2023-01,BR,Hospital Geral,P<c3><ba>blico,1218
2023-01,SP,Hospital Geral,P<c3><ba>blico,268
2023-01,RJ,Hospital Geral,P<c3><ba>blico,107
2023-01,MG,Hospital Geral,P<c3><ba>blico,121
2023-01,BA,Hospital Geral,P<c3><ba>blico,85
2023-01,RS,Hospital Geral,P<c3><ba>blico,71
2023-01,BR,Hospital Geral,Filantr<c3><b3>pico,752
2023-01,SP,Hospital Geral,Filantr<c3><b3>pico,164
2023-01,RJ,Hospital Geral,Filantr<c3><b3>pico,67
2023-01,MG,Hospital Geral,Filantr<c3><b3>pico,73
2023-01,BA,Hospital Geral,Filantr<c3><b3>pico,52
2023-01,RS,Hospital Geral,Filantr<c3><b3>pico,43
2023-01,BR,Hospital Geral,Privado,1065
2023-01,SP,Hospital Geral,Privado,238
2023-01,RJ,Hospital Geral,Privado,94
2023-01,MG,Hospital Geral,Privado,105
2023-01,BA,Hospital Geral,Privado,74
2023-01,RS,Hospital Geral,Privado,62
2023-04,BR,Hospital Geral,P<c3><ba>blico,1212
2023-04,SP,Hospital Geral,P<c3><ba>blico,267
2023-04,RJ,Hospital Geral,P<c3><ba>blico,106
2023-04,MG,Hospital Geral,P<c3><ba>blico,123
2023-04,BA,Hospital Geral,P<c3><ba>blico,84
2023-04,RS,Hospital Geral,P<c3><ba>blico,71
2023-04,BR,Hospital Geral,Filantr<c3><b3>pico,758
2023-04,SP,Hospital Geral,Filantr<c3><b3>pico,165
2023-04,RJ,Hospital Geral,Filantr<c3><b3>pico,68
2023-04,MG,Hospital Geral,Filantr<c3><b3>pico,76
2023-04,BA,Hospital Geral,Filantr<c3><b3>pico,52
2023-04,RS,Hospital Geral,Filantr<c3><b3>pico,44
2023-04,BR,Hospital Geral,Privado,1041
2023-04,SP,Hospital Geral,Privado,229
2023-04,RJ,Hospital Geral,Privado,95
2023-04,MG,Hospital Geral,Privado,103
2023-04,BA,Hospital Geral,Privado,75
2023-04,RS,Hospital Geral,Privado,63
2023-07,BR,Hospital Geral,P<c3><ba>blico,1196
2023-07,SP,Hospital Geral,P<c3><ba>blico,268
2023-07,RJ,Hospital Geral,P<c3><ba>blico,109
2023-07,MG,Hospital Geral,P<c3><ba>blico,118
2023-07,BA,Hospital Geral,P<c3><ba>blico,85
2023-07,RS,Hospital Geral,P<c3><ba>blico,72
2023-07,BR,Hospital Geral,Filantr<c3><b3>pico,757
2023-07,SP,Hospital Geral,Filantr<c3><b3>pico,164
2023-07,RJ,Hospital Geral,Filantr<c3><b3>pico,68
2023-07,MG,Hospital Geral,Filantr<c3><b3>pico,77
2023-07,BA,Hospital Geral,Filantr<c3><b3>pico,53
2023-07,RS,Hospital Geral,Filantr<c3><b3>pico,46
2023-07,BR,Hospital Geral,Privado,1086
2023-07,SP,Hospital Geral,Privado,236
2023-07,RJ,Hospital Geral,Privado,93
2023-07,MG,Hospital Geral,Privado,108
2023-07,BA,Hospital Geral,Privado,76
2023-07,RS,Hospital Geral,Privado,63
2023-10,BR,Hospital Geral,P<c3><ba>blico,1262
2023-10,SP,Hospital Geral,P<c3><ba>blico,268
2023-10,RJ,Hospital Geral,P<c3><ba>blico,110
2023-10,MG,Hospital Geral,P<c3><ba>blico,117
2023-10,BA,Hospital Geral,P<c3><ba>blico,83
2023-10,RS,Hospital Geral,P<c3><ba>blico,72
2023-10,BR,Hospital Geral,Filantr<c3><b3>pico,755
2023-10,SP,Hospital Geral,Filantr<c3><b3>pico,165
2023-10,RJ,Hospital Geral,Filantr<c3><b3>pico,68
2023-10,MG,Hospital Geral,Filantr<c3><b3>pico,75
2023-10,BA,Hospital Geral,Filantr<c3><b3>pico,53
2023-10,RS,Hospital Geral,Filantr<c3><b3>pico,45
2023-10,BR,Hospital Geral,Privado,1052
2023-10,SP,Hospital Geral,Privado,235
2023-10,RJ,Hospital Geral,Privado,96
2023-10,MG,Hospital Geral,Privado,104
2023-10,BA,Hospital Geral,Privado,75
2023-10,RS,Hospital Geral,Privado,65
2024-01,BR,Hospital Geral,P<c3><ba>blico,1239
2024-01,SP,Hospital Geral,P<c3><ba>blico,274
2024-01,RJ,Hospital Geral,P<c3><ba>blico,111
2024-01,MG,Hospital Geral,P<c3><ba>blico,123
2024-01,BA,Hospital Geral,P<c3><ba>blico,85
2024-01,RS,Hospital Geral,P<c3><ba>blico,73
2024-01,BR,Hospital Geral,Filantr<c3><b3>pico,763
2024-01,SP,Hospital Geral,Filantr<c3><b3>pico,167
2024-01,RJ,Hospital Geral,Filantr<c3><b3>pico,70
2024-01,MG,Hospital Geral,Filantr<c3><b3>pico,76
2024-01,BA,Hospital Geral,Filantr<c3><b3>pico,53
2024-01,RS,Hospital Geral,Filantr<c3><b3>pico,45
2024-01,BR,Hospital Geral,Privado,1070
2024-01,SP,Hospital Geral,Privado,239
2024-01,RJ,Hospital Geral,Privado,98
2024-01,MG,Hospital Geral,Privado,106
2024-01,BA,Hospital Geral,Privado,74
2024-01,RS,Hospital Geral,Privado,65
2024-04,BR,Hospital Geral,P<c3><ba>blico,1213
2024-04,SP,Hospital Geral,P<c3><ba>blico,273
2024-04,RJ,Hospital Geral,P<c3><ba>blico,110
2024-04,MG,Hospital Geral,P<c3><ba>blico,121
2024-04,BA,Hospital Geral,P<c3><ba>blico,85
2024-04,RS,Hospital Geral,P<c3><ba>blico,73
2024-04,BR,Hospital Geral,Filantr<c3><b3>pico,771
2024-04,SP,Hospital Geral,Filantr<c3><b3>pico,168
2024-04,RJ,Hospital Geral,Filantr<c3><b3>pico,69
2024-04,MG,Hospital Geral,Filantr<c3><b3>pico,76
2024-04,BA,Hospital Geral,Filantr<c3><b3>pico,54
2024-04,RS,Hospital Geral,Filantr<c3><b3>pico,48
2024-04,BR,Hospital Geral,Privado,1093
2024-04,SP,Hospital Geral,Privado,233
2024-04,RJ,Hospital Geral,Privado,95
2024-04,MG,Hospital Geral,Privado,106
2024-04,BA,Hospital Geral,Privado,76
2024-04,RS,Hospital Geral,Privado,66
2024-07,BR,Hospital Geral,P<c3><ba>blico,1271
2024-07,SP,Hospital Geral,P<c3><ba>blico,264
2024-07,RJ,Hospital Geral,P<c3><ba>blico,108
2024-07,MG,Hospital Geral,P<c3><ba>blico,123
2024-07,BA,Hospital Geral,P<c3><ba>blico,84
2024-07,RS,Hospital Geral,P<c3><ba>blico,73
2024-07,BR,Hospital Geral,Filantr<c3><b3>pico,774
2024-07,SP,Hospital Geral,Filantr<c3><b3>pico,172
2024-07,RJ,Hospital Geral,Filantr<c3><b3>pico,69
2024-07,MG,Hospital Geral,Filantr<c3><b3>pico,75
2024-07,BA,Hospital Geral,Filantr<c3><b3>pico,52
2024-07,RS,Hospital Geral,Filantr<c3><b3>pico,47
2024-07,BR,Hospital Geral,Privado,1095
2024-07,SP,Hospital Geral,Privado,238
2024-07,RJ,Hospital Geral,Privado,93
2024-07,MG,Hospital Geral,Privado,108
2024-07,BA,Hospital Geral,Privado,74
2024-07,RS,Hospital Geral,Privado,64
2024-10,BR,Hospital Geral,P<c3><ba>blico,1248
2024-10,SP,Hospital Geral,P<c3><ba>blico,271
2024-10,RJ,Hospital Geral,P<c3><ba>blico,110
2024-10,MG,Hospital Geral,P<c3><ba>blico,122
2024-10,BA,Hospital Geral,P<c3><ba>blico,85
2024-10,RS,Hospital Geral,P<c3><ba>blico,72
2024-10,BR,Hospital Geral,Filantr<c3><b3>pico,764
2024-10,SP,Hospital Geral,Filantr<c3><b3>pico,171
2024-10,RJ,Hospital Geral,Filantr<c3><b3>pico,69
2024-10,MG,Hospital Geral,Filantr<c3><b3>pico,76
2024-10,BA,Hospital Geral,Filantr<c3><b3>pico,55
